date_start,time_start,date_end,time_end,area,location,spp_name_la,common_name_en,spp_name_lt,total_length,std_length,fork_length,fish_weight,gonad_stage,age,sex_lt,sex_en,fat_weight,exclude_from_weight_est,gut_fullness,n_fish,catch_weight,catch_weight_min,catch_weight_max,catch_length_min,catch_length_max,tool_type,total_gear_length,total_gear_length_broad,mesh_size,mesh_size_broad,soak_time,soak_time_broad,depth,method
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,47.5,38.5,NA,1352,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,47.5,38.5,NA,1315,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,47.5,39.2,NA,1348,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39.3,31,NA,748,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,44.2,35.8,NA,1120,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,37.2,28.5,NA,480,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,40.3,31.5,NA,729,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,41.5,33.5,NA,777,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,42.5,33.5,NA,879,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
2007-05-14,14:00:00,2007-05-14,21:00:00,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39,31,NA,710,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,7,medium,NA,1
